IdGenome	GenomeName	IDAnnotation	FragmentStart	FragmentEnd	NumFragment	NumCDS	cdsName	cdsLocusTag	type	cdsProduct	IS	phage	transposon	integrase	NotCDS	other2	other3	NbReads_0mismatch	NbReads_1mismatch	NbReads_2mismatch	NbReads_3mismatch	NbReads_0-3mismatchs	SourceGenome	isCDSMapped
0	Streptococcus_salivarius_JIM8777	3336	104	1468	1748	3	dnaA	SALIVA_0001	CDS	chromosomal replication initiator protein dnaa	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	1623	2759	1748	4	dnaN	SALIVA_0002	CDS	beta subunit of dna polymerase iii	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	2811	3002	1748	5	yaaA	SALIVA_0003	CDS	hypothetical protein	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	3212	4327	1748	6	engD	SALIVA_0004	CDS	gtp-dependent nucleic acid-binding protein	0	0	0	0	0	0	0	0.0	0.0	0.0	2.0	2.0	Streptococcus_agalactiae_NEM316	TRUE
0	Streptococcus_salivarius_JIM8777	3336	4400	4969	1748	7	pth	SALIVA_0005	CDS	peptidyl-trna hydrolase (pth)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	4962	8468	1748	8	trcF	SALIVA_0006	CDS	transcription-repair coupling factor	0	0	0	0	0	0	0	0.0	0.0	0.0	2.0	2.0	Streptococcus_agalactiae_NEM316	TRUE
0	Streptococcus_salivarius_JIM8777	3336	8654	8929	1748	9	yaab	SALIVA_0007	CDS	s4 rna-binding domain protein	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	8913	9284	1748	0	divIC	SALIVA_0008	CDS	putative cell-cycle protein, mesj/ycf62 family	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	9284	9415	1748	1	yaaC	SALIVA_0009	CDS	hypothetical protein	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	9412	10704	1748	2	yaaD	SALIVA_0010	CDS	hypothetical protein	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	10704	11969	1748	10	tilS	SALIVA_0011	CDS	trna(ile)-lysidine synthase	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	12051	12593	1748	11	hpt	SALIVA_0012	CDS	hypoxanthine-guanine phosphoribosyltransferase (hgprt) (hgprtase)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	12613	14592	1748	12	ftsH	SALIVA_0013	CDS	cell division protein	0	0	0	0	0	0	0	0.0	0.0	2.0	0.0	2.0	Streptococcus_agalactiae_NEM316	TRUE
0	Streptococcus_salivarius_JIM8777	3336	21400	22230	1748	13	mreC	SALIVA_0032	CDS	rod shape-determining protein mrec	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	22232	22756	1748	14	mreD	SALIVA_0033	CDS	rod shape-determining protein mred	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	22841	24340	1748	15	pcsB	SALIVA_0034	CDS	glucan binding protein	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	24552	25517	1748	16	prsA1	SALIVA_0035	CDS	ribose-phosphate pyrophosphokinase	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	1.0	Streptococcus_agalactiae_NEM316	TRUE
0	Streptococcus_salivarius_JIM8777	3336	25610	26785	1748	17	araT	SALIVA_0036	CDS	aromatic amino acid aminotransferase	0	0	0	0	0	0	0	0.0	0.0	0.0	3.0	3.0	Streptococcus_agalactiae_NEM316	TRUE
0	Streptococcus_salivarius_JIM8777	3336	26772	27545	1748	18	recO	SALIVA_0037	CDS	dna repair protein reco (recombination protein o)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	27757	28761	1748	19	plsX	SALIVA_0038	CDS	fatty acid/phospholipid synthesis protein plsx	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	28761	29006	1748	20	acpP1	SALIVA_0039	CDS	acyl carrier protein	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	Streptococcus_agalactiae_NEM316	FALSE
0	Streptococcus_salivarius_JIM8777	3336	29265	29972	1748	21	purC	SALIVA_0040	CDS	phosphoribosylaminoimidazolesuccinocarboxamide synthase	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	1.0	Streptococcus_agalactiae_NEM316	TRUE
